trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
680070,33,1,"SHUTTLE PARK SOUTH",,1,5007,shp-33-04,1,2
681070,9,1,"EAST LAKE",,0,9007,shp-9-02,1,1
689010,21,3,"DOWNTOWN",,1,5901,shp-21-53,1,1
703020,14,2,"MOCS EXPRESS",,1,1402,shp-14-04,1,1
706070,21,1,"DOWNTOWN",,1,3407,shp-21-52,1,1
720070,9,1,"EAST LAKE",,0,9707,shp-9-02,1,1
725020,21,2,"GOLDEN GATEWAY",,0,3502,shp-21-01,1,1
732020,15,2,"ST. ELMO/INCLINE",,1,1802,shp-15-01,1,2
739070,33,1,"TREMONT + FRAZIER",,0,4207,shp-33-53,1,2
746070,1,1,"ALTON PARK",,0,607,shp-1-03,1,1
763070,15,1,"ST. ELMO/INCLINE",,1,2707,shp-15-01,1,2
764020,13,2,"DOWNTOWN",,1,902,shp-13-53,1,1
766070,4,1,"DOWNTOWN",,1,6007,shp-4-64,1,1
79020,21,2,"DOWNTOWN",,1,3602,shp-21-52,1,1
817070,34,1,"TREMONT + FRAZIER",,0,5307,shp-34-53,1,2
833020,9,2,"EAST LAKE",,0,8702,shp-9-03,1,1
839020,33,2,"TREMONT + FRAZIER",,0,4402,shp-33-53,1,2
845070,1,1,"DOWNTOWN",,1,2507,shp-1-66,1,1
85070,14,1,"MOCS EXPRESS DOWNTOWN",,1,1707,shp-14-03,1,1
86070,33,1,"TREMONT + FRAZIER",,0,4907,shp-33-53,1,2
875070,1,1,"DOWNTOWN",,1,207,shp-1-65,1,1
885020,10A,2,"DOWNTOWN/TO GARAGE",,1,2302,shp-10A-06,1,1
888010,15,3,"ST. ELMO/INCLINE",,1,1901,shp-15-02,1,2
890020,10A,2,"AVONDALE UTC",,0,3802,shp-10A-10,1,1
892010,21,3,"GOLDEN GATEWAY",,0,5901,shp-21-01,1,1
893070,33,1,"SHUTTLE PARK SOUTH",,1,4807,shp-33-04,1,2
901020,14,2,"MOCS EXPRESS",,0,1402,shp-14-52,1,1
9020,14,2,"MOCS EXPRESS",,1,1302,shp-14-04,1,1
902070,15,1,"ST. ELMO/INCLINE",,1,2707,shp-15-01,1,2
907070,33,1,"SHUTTLE PARK SOUTH",,1,4407,shp-33-04,1,2
910020,33,2,"TREMONT + FRAZIER",,0,4802,shp-33-53,1,2
918070,4,1,"EASTGATE HAMILTON PL",,0,5907,shp-4-13,1,1
919010,33,3,"TREMONT + FRAZIER",,0,4201,shp-33-53,1,2
928010,9,3,"DOWNTOWN",,1,9501,shp-9-51,1,1
930020,1,2,"ALTON PARK",,0,2502,shp-1-03,1,1
938020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
