stop_id,stop_name,stop_lat,stop_lon,is_sheltered,shade_factor,n_transfers,total_hei,total_hei_p90,mean_hei,mean_wait_min,mean_wbgt
2055,Market & 12th 0,35.042249,-85.308998,False,1.0,38,6532.705432098455,7164.781961345533,171.91330084469618,7.1605263157894745,23.965153283304822
170,4th & High-1-0,35.052165,-85.305462,False,1.0,37,6398.890226784404,7042.71103968483,172.94297910228119,7.355855855855856,23.530353184462676
2179,Houston & Vine Street 1-0,35.048912,-85.303027,False,1.0,34,6377.428074761941,7000.393012465884,187.5714139635865,7.829901960784313,23.974990309778043
169,4th & Lookout-1-0,35.052174,-85.306613,False,1.0,37,6377.337867712177,7019.178506930129,172.36048291113994,7.332432432432433,23.529521303531105
2039,Holtzclaw & Cleveland-1,35.04638,-85.2786,False,1.0,34,5840.396522234553,6440.041470914054,171.77636830101628,7.42843137254902,23.503171210686677
2074,Market & Houston1,35.041799,-85.308691,False,1.0,27,5636.381965781005,6171.181071237055,208.75488762151872,8.598765432098766,24.3144319897212
771,Market & King-1,35.039284,-85.307506,False,1.0,27,5568.247192698319,6096.473885413161,206.23137750734514,8.49320987654321,24.30767841836924
2058,Market & 14th1,35.038518,-85.30744,False,1.0,27,5561.332035935938,6088.988462602422,205.9752605902199,8.48395061728395,24.306045508311215
690,Sholar & CARTA 1,35.055919,-85.268741,False,1.0,31,5531.379610784583,6056.345333180747,178.43160034788977,7.258064516129032,24.630399132677304
2134,3rd & Baldwin-1,35.05021,-85.29597,False,1.0,44,5117.969593915282,5657.92462069094,116.31749077080185,5.1462121212121215,22.899840392951447
1557,Market & 14th 0,35.039537,-85.307638,False,1.0,26,4755.894467252775,5224.781998792519,182.9190179712606,7.709615384615384,23.724669703946482
175,3rd & Collins-0,35.04951,-85.2946,False,1.0,38,4713.2294829696075,5168.954941988607,124.03235481498967,5.1153508771929825,24.064341257166454
712,Holtzclaw & 3rd-1,35.04398,-85.2799,False,1.0,31,4674.415956814188,5179.024823748632,150.7876115101351,6.804838709677419,22.52633498601129
767,Main & Cowart-1,35.03721,-85.310278,False,1.0,23,4395.004278224488,4814.358531604095,191.0871425314995,7.864492753623188,24.357972210942272
768,Main & Williams-1,35.036841,-85.309291,False,1.0,23,4371.53577104884,4788.511897409352,190.06677265429738,7.819565217391304,24.35996071009304
769,Main & Long-1,35.036472,-85.308283,False,1.0,23,4351.578380732106,4766.520840504645,189.1990600318307,7.781159420289855,24.361946342448224
2011,S Market & 12th,35.041934,-85.308746,False,1.0,19,4325.061934580054,4746.231024444904,227.6348386621081,9.473684210526315,24.011753125457783
1976,Broad & 6th-1-0,35.04951,-85.31042,False,1.0,22,4258.211805964485,4672.219869969737,193.55508208929479,8.082575757575757,23.914801461005244
2332,Broad & Main-0,35.037706,-85.311297,False,1.0,18,4154.25080841168,4549.510373184864,230.79171157842666,9.506481481481481,24.423737489021644
1357,MARKET + CHOO CHOO,35.038049,-85.307505,False,1.0,23,4147.601363411414,4561.967336072083,180.33049406136584,7.660869565217391,23.56399887199391
503,4th & Walnut-1-0,35.052255,-85.307654,False,1.0,21,4016.508950941992,4411.810177680799,191.2623309972377,7.966666666666667,24.127962596702055
1959,4th & Cherry-1-0,35.052201,-85.308597,False,1.0,21,4013.3147671824204,4408.415737613188,191.11022700868668,7.961904761904761,24.12756403130107
614,Holtzclaw & Wilson 0,35.05455,-85.27064,False,1.0,20,4012.8772339262878,4397.213604356299,200.6438616963144,8.219166666666666,24.469259030048843
322,BAILEY AVE + LYERLY,35.03123,-85.27033,False,1.0,25,3986.6208628471063,4368.543224684376,159.46483451388426,6.59,24.025300427833205
321,BAILEY AVE + KELLY,35.03178,-85.27183,False,1.0,25,3981.142528862252,4362.542354875895,159.2457011544901,6.5806666666666676,24.024435400904537
1406,Broad & 13th 0,35.039851,-85.310115,False,1.0,17,3845.946311922902,4213.782696733265,226.23213599546483,9.357843137254903,24.374241542786418
2162,Market & First Horizon Bank (7th),35.048171,-85.309494,False,1.0,16,3584.2733505106567,3930.5844740160555,224.01708440691604,9.345833333333333,24.007316855443207
124,Broad & 33rd1,35.017547,-85.322245,False,1.0,19,3544.2280884885263,3883.8517609471355,186.53832044676454,7.723684210526316,24.220460478762806
1358,BROAD + CHARGER,35.015843,-85.323087,False,1.0,19,3528.130814753327,3865.5269874209544,185.69109551333298,7.677192982456141,24.216861214955916
2145,Shuttle Garage-1,35.06218,-85.305378,False,1.0,19,3301.5235514265223,3625.6242472144327,173.76439744350117,7.296491228070175,23.889868345174524
38,Broad & 34th 0,35.016456,-85.322934,False,1.0,19,3299.148855619421,3614.4368043687796,173.63941345365373,7.169298245614035,24.14113129439778
2001,Frazier & Forrest-1,35.062432,-85.306584,False,1.0,19,3298.120213672539,3621.8023411568342,173.58527440381786,7.2859649122807015,23.89182422899437
1978,Broad & Hornes-0,35.01711,-85.32262,False,1.0,19,3295.1362040764034,3610.0358287378203,173.4282212671791,7.1605263157894745,24.139974904690828
2244,Frazier & North Market,35.062711,-85.308524,False,1.0,19,3279.06966091748,3601.10053087223,172.58261373249897,7.249122807017543,23.895285563115493
2078,Market & TVA CU 0,35.047982,-85.309494,False,1.0,19,3134.796013925989,3431.902841219993,164.98926389084153,6.731578947368422,24.557458774049046
1961,4th & Houston,35.051257,-85.301665,False,1.0,14,2935.715603424319,3210.87092431373,209.69397167316563,8.434523809523808,24.80489220321969
282,3rd & Mabel-1,35.051347,-85.299509,False,1.0,15,2794.592438782663,3069.2676277483242,186.30616258551086,7.8566666666666665,23.209627601983733
1029,Holtzclaw & Citico-0,35.04865,-85.27713,False,1.0,20,2670.496145697523,2928.220514431362,133.52480728487615,5.534166666666667,24.152490169462983
172,4th & Houston-1-0,35.05136,-85.30184,False,1.0,25,2599.2422886072645,2856.011870345325,103.96969154429058,4.35,23.990414989799028
2045,Houston & 10th-1-0,35.043539,-85.306204,False,1.0,12,1918.0646232817144,2106.640488092033,159.83871860680952,6.704166666666667,23.872920139335438
18,Market & 12TH-1,35.042069,-85.308932,False,1.0,8,1590.2963596162026,1733.1381817862884,198.78704495202533,8.0,24.842833676764513
269,3rd & Hawthorne-1,35.04144,-85.27323,False,1.0,9,1590.0228584503714,1751.0965362811876,176.6692064944857,7.62037037037037,23.18114526652022
270,3rd & Holly-1,35.042606,-85.276567,False,1.0,10,1563.1814418092683,1720.9045957359249,156.31814418092682,6.720000000000001,23.12604789349595
271,3rd & Highland Park-1,35.04321,-85.278068,False,1.0,10,1552.2320067825476,1708.7105318068766,155.22320067825476,6.668333333333334,23.127732476360457
272,3rd & Holtzclaw-1,35.043823,-85.279778,False,1.0,10,1542.1653076654097,1697.466674767608,154.21653076654098,6.62,23.12968996221228
184,3rd & Hawthorne-0,35.04138,-85.27353,False,1.0,9,1474.7452079018938,1626.6745393075453,163.86057865576598,6.9981481481481485,23.243960703296892
183,3rd & Holly-0,35.04257,-85.27677,False,1.0,9,1463.8972090047855,1614.7215492622906,162.65524544497617,6.946296296296296,23.243274688654726
182,3rd & Highland Park-0,35.043075,-85.277992,False,1.0,9,1460.091135100631,1610.517709430398,162.23234834451455,6.927777777777778,23.24303763352052
1353,Market & epb-1,35.04531,-85.30954,False,1.0,10,1391.1646460710344,1522.0872343174365,139.11646460710344,5.633333333333334,24.85294715811288
2365,3rd & CSAS,35.05016,-85.296271,False,1.0,6,1343.951127837489,1470.1437072957867,223.99185463958148,9.113888888888889,24.604853856487523
2065,Market & Courts Bldg,35.049875,-85.309505,False,1.0,7,1322.2288851035128,1457.9682808441535,188.88984072907326,8.04047619047619,23.259704415926656
12,Market & Family Dollar-1,35.05043,-85.30961,False,1.0,6,1312.7790488962821,1438.922774115454,218.79650814938034,9.200000000000001,24.090534478101343
507,AMNICOLA + CREEKSIDE,35.09321,-85.25515,False,1.0,7,1307.8708825678777,1443.3365924200411,186.83869750969683,8.126190476190477,22.843701933452135
1966,Amnicola & Pepsi 0,35.08511,-85.26189,False,1.0,7,1274.795410430171,1407.0414686685006,182.113630061453,7.940476190476191,22.842070493448677
2168,Amnicola Hwy & Police Services Ctr,35.081139,-85.264134,False,1.0,7,1249.8139860312704,1379.8989775489283,178.54485514732434,7.8,22.83948681953941
2167,Amnicola Hwy & Stuart,35.077579,-85.266141,False,1.0,7,1240.543455611402,1370.0155407239668,177.2204936587717,7.754761904761905,22.837735093656345
2166,Amnicola Hwy & Appling,35.073144,-85.268542,False,1.0,7,1222.2415361457117,1350.2122681418086,174.60593373510167,7.654761904761905,22.8353264757174
2165,Amnicola Hwy & Latta,35.071053,-85.269716,False,1.0,7,1213.2057922035344,1340.4170128969874,173.3151131719335,7.604761904761905,22.834153819358537
2164,Amnicola Hwy & Crutchfield,35.069963,-85.270297,False,1.0,7,1209.346177487131,1336.2333359188665,172.7637396410187,7.583333333333333,22.833322076551706
1246,Rossville Blvd & 48th-0,34.987595,-85.288448,False,1.0,18,1183.5454526508242,1299.3304242204124,65.75252514726802,2.7583333333333333,23.84058827762628
2076,Market & Miller Pk 0,35.044638,-85.309492,False,1.0,4,1154.9765865820063,1266.8592341483486,288.7441466455016,12.091666666666667,24.041681619940494
1351,Market & 4th-0,35.052453,-85.309704,False,1.0,5,1048.9314717601176,1166.4962275174346,209.7862943520235,9.746666666666666,22.034542525189604
2395,Holtzclaw & Cumberland,35.044382,-85.279471,False,1.0,4,928.7336170830093,1015.0271834542496,232.18340427075233,9.445833333333333,24.614318445760333
1996,Glass & Dodson,35.063617,-85.254894,False,1.0,5,892.6078802003741,981.0429638688504,178.52157604007482,7.573333333333333,23.401861517314437
805,HOUSTON + WAREHOUSE ROW,35.042024,-85.30845,False,1.0,6,843.4467170585126,923.8365311211717,140.57445284308542,5.655555555555555,24.638934727641203
181,3rd & Warner Park-0,35.04403,-85.2807,False,1.0,8,823.3144581580656,905.8249963677979,102.9143072697582,4.34375,23.635326972426064
1922,Riverside Center 0,35.055694,-85.280897,True,0.7,7,796.1331743407046,880.6720384400719,113.73331062010065,7.183333333333333,22.822662193504847
398,3rd & Roanoke-1,35.04043,-85.27046,False,1.0,5,783.3404763344113,862.4836444716575,156.66809526688226,6.7299999999999995,23.49676913121677
2132,3rd & Roberts-1,35.04173,-85.27405,False,1.0,5,778.8292289178646,857.4760919123353,155.76584578357293,6.686666666666667,23.501976802287338
397,3rd & Willow-1,35.0401,-85.26957,False,1.0,5,770.4031811018478,848.1871549997061,154.08063622036957,6.613333333333332,23.49595567271289
2133,3rd & Hickory-1,35.04202,-85.27479,False,1.0,5,764.8095423813808,841.9838519230389,152.96190847627616,6.56,23.50378563811936
2598,Broad & 5th-0,35.050833,-85.310463,False,1.0,4,736.94795774342,807.6613178110495,184.236989435855,8.0,23.027149265119434
